case,scenario,geometry,n,m,d,weights,seed,sweep_value,is_self,overlap_count,overlap_fraction,common_mass,method,projection_kind,L,epsilon,collision_mass,collision_fraction,largest_fiber,method_id,median_ms,q25_ms,q75_ms,cost,row_l1,col_l1,row_relative,feasible,retained_mass,retention_ratio,exact_cost,absolute_gap,relative_gap,self_cost,self_map_error,status,peak_traced_mib,iterations,backend
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,LMOT,random,8,,0.0,0.0,1,LMOT/random/L8,2.690351,2.6863875000000004,2.6943145,0.08990734503586076,8.881784197001252e-16,8.873110579621368e-16,8.793772773398386e-15,True,0.1549439039462076,0.2780263121903411,0.006560530435786301,0.08334681460007445,12.704279846860441,,,ok,0.04574012756347656,,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,EST,random,8,,0.0,0.0,1,EST/random/L8,2.7229055,2.6323237500000003,2.8134872499999997,0.08990734503586076,8.881784197001252e-16,8.873110579621368e-16,8.793772773398386e-15,True,0.1549439039462076,0.2780263121903411,0.006560530435786301,0.08334681460007445,12.704279846860441,,,ok,0.043969154357910156,,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,LMOT,structured,8,,0.9145567170684299,0.9189453125,8,LMOT/structured/L8,2.4617364999999998,2.41876425,2.50470875,0.0746207813014197,3.400058012914542e-16,2.5370330836160804e-16,5.3236304146767706e-15,True,0.2749441208872923,0.4933508065941576,0.006560530435786301,0.0680602508656334,10.374199393143453,,,ok,0.035717010498046875,,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,EST,structured,8,,0.9145567170684299,0.9189453125,8,EST/structured/L8,2.2753205,2.20564525,2.34499575,0.09339325931144969,3.3089850304257595e-16,2.47198095326695e-16,5.3236304146767706e-15,True,0.11371325802240308,0.20404337937743858,0.006560530435786301,0.08683272887566339,13.235626253939662,,,ok,0.032601356506347656,,
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,Sinkhorn,none,0,0.01,,,,Sinkhorn/eps=0.01,32.155904500000005,31.77882125,32.532987750000004,0.012173838391410298,2.7538735181131813e-16,7.178144499370848e-09,1.0721989861824967e-15,True,0.18405820270362155,0.3302680649110021,0.006560530435786301,0.005613307955623996,0.8556180038438039,,,ok,0.2669687271118164,201,pot
n64_d2_nonuniform_s0_v0.5,support,grid,64,64,2,nonuniform,0,0.5,False,32,0.5,0.5572994250994872,Sinkhorn,none,0,0.001,,,,Sinkhorn/eps=0.001,234.6607415,233.69521575,235.62626725,0.006616191956065474,8.582544397395253e-16,1.3510664448627627e-07,5.277394722723048e-15,False,0.31979751728970207,0.5738342852814049,0.006560530435786301,,,,,not_converged,0.2708120346069336,1500,pot
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT,random,8,,0.0,0.0,1,LMOT/random/L8,2.6653339999999996,2.631265,2.6994029999999998,0.09516776227080927,8.881784197001252e-16,9.194034422677078e-16,8.793772773398386e-15,True,0.0,,0.013810917529217934,0.08135684474159133,5.890763200162147,,,ok,0.04449176788330078,,
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,EST,random,8,,0.0,0.0,1,EST/random/L8,2.3981615,2.33490375,2.46141925,0.09516776227080927,8.881784197001252e-16,9.194034422677078e-16,8.793772773398386e-15,True,0.0,,0.013810917529217934,0.08135684474159133,5.890763200162147,,,ok,0.0438232421875,,
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,LMOT,structured,8,,0.910345835278433,0.9150390625,9,LMOT/structured/L8,2.4957735000000003,2.38835175,2.60319525,0.0950259925041147,3.430415673744136e-16,2.3678975447083417e-16,5.3236304146767706e-15,True,0.0,,0.013810917529217934,0.08121507497489676,5.880498149603801,,,ok,0.03304004669189453,,
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,EST,structured,8,,0.910345835278433,0.9150390625,9,EST/structured/L8,2.303037,2.206499,2.399575,0.0950259925041147,3.430415673744136e-16,2.3678975447083417e-16,5.3236304146767706e-15,True,0.0,,0.013810917529217934,0.08121507497489676,5.880498149603801,,,ok,0.03270530700683594,,
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn,none,0,0.01,,,,Sinkhorn/eps=0.01,29.448256999999998,29.0379455,29.8585685,0.019135518523606156,2.675810961694225e-16,3.415850507396817e-09,1.161129375076338e-15,True,0.0,,0.013810917529217934,0.005324600994388222,0.38553564476246177,,,ok,0.26682567596435547,181,pot
n64_d2_nonuniform_s0_v0,support,grid,64,64,2,nonuniform,0,0.0,False,0,0.0,0.0,Sinkhorn,none,0,0.001,,,,Sinkhorn/eps=0.001,244.1299745,242.64694624999998,245.61300275000002,0.013828067532730418,2.125903619809577e-15,1.6557506592358717e-07,1.2043466150206682e-14,False,0.0,,0.013810917529217934,,,,,not_converged,0.2708120346069336,1500,pot
